    0.14000              24486
    0.42000              18257
    0.70000              14003
    0.98000              10431
     1.2600               7953
     1.5400               6126
     1.8200               4646
     2.1000               3358
     2.3800               2643
     2.6600               1990
     2.9400               1436
     3.2200               1081
     3.5000                854
     3.7800                654
     4.0600                505
     4.3400                371
     4.6200                286
     4.9000                209
     5.1800                151
     5.4600                107
     5.7400                 90
     6.0200                 63
     6.3000                 46
     6.5800                 28
     6.8600                 30
     7.1400                 30
     7.4200                 17
     7.7000                 11
     7.9800                  9
     8.2600                  7
     8.5400                  3
     8.8200                  5
     9.1000                  2
     9.3800                  1
     9.6600                  4
     9.9400                  1
     10.220                  1
     10.500                  2
     10.780                  0
     11.060                  0
     11.340                  1
     11.620                  0
     11.900                  0
     12.180                  1
     12.460                  0
     12.740                  0
     13.020                  0
     13.300                  0
     13.580                  0
     13.860                  0
